YEAR  MO  DA  HR      LAT       LON   CO2 10000
2012   1   1  12  37.6168  -80.5246  0.6806E-09
2012   1   1  12  36.7668  -80.4746  0.3426E-09
2012   1   1  12  36.8168  -80.4746  0.1796E-09
2012   1   1  12  36.8668  -80.4746  0.1307E-08
2012   1   1  12  36.9168  -80.4746  0.2886E-08
2012   1   1  12  36.9668  -80.4746  0.4212E-08
2012   1   1  12  37.0168  -80.4746  0.5900E-08
2012   1   1  12  37.0668  -80.4746  0.6057E-08
2012   1   1  12  37.1168  -80.4746  0.5912E-08
2012   1   1  12  37.1668  -80.4746  0.5442E-08
2012   1   1  12  37.2168  -80.4746  0.5170E-08
2012   1   1  12  37.2668  -80.4746  0.7914E-08
2012   1   1  12  37.3168  -80.4746  0.9500E-08
2012   1   1  12  37.3668  -80.4746  0.7338E-08
2012   1   1  12  37.4168  -80.4746  0.6087E-08
2012   1   1  12  37.4668  -80.4746  0.4483E-08
2012   1   1  12  37.5168  -80.4746  0.1522E-08
2012   1   1  12  37.5668  -80.4746  0.1663E-08
2012   1   1  12  37.6168  -80.4746  0.1059E-08
2012   1   1  12  36.7668  -80.4246  0.1714E-09
2012   1   1  12  36.8168  -80.4246  0.1714E-09
2012   1   1  12  36.8668  -80.4246  0.6168E-09
2012   1   1  12  36.9168  -80.4246  0.1741E-08
2012   1   1  12  36.9668  -80.4246  0.3746E-08
2012   1   1  12  37.0168  -80.4246  0.3687E-08
2012   1   1  12  37.0668  -80.4246  0.6478E-08
2012   1   1  12  37.1168  -80.4246  0.5108E-08
2012   1   1  12  37.1668  -80.4246  0.5080E-08
2012   1   1  12  37.2168  -80.4246  0.4682E-08
2012   1   1  12  37.2668  -80.4246  0.5631E-08
2012   1   1  12  37.3168  -80.4246  0.6768E-08
2012   1   1  12  37.3668  -80.4246  0.6514E-08
2012   1   1  12  37.4168  -80.4246  0.5875E-08
2012   1   1  12  37.4668  -80.4246  0.5572E-08
2012   1   1  12  37.5168  -80.4246  0.3464E-08
2012   1   1  12  37.5668  -80.4246  0.5942E-09
2012   1   1  12  37.6168  -80.4246  0.5294E-09
2012   1   1  12  37.6668  -80.4246  0.3027E-09
2012   1   1  12  37.7168  -80.4246  0.7572E-10
2012   1   1  12  36.8168  -80.3746  0.3428E-09
2012   1   1  12  36.8668  -80.3746  0.1797E-09
2012   1   1  12  36.9168  -80.3746  0.1132E-08
2012   1   1  12  36.9668  -80.3746  0.2707E-08
2012   1   1  12  37.0168  -80.3746  0.3683E-08
2012   1   1  12  37.0668  -80.3746  0.4020E-08
2012   1   1  12  37.1168  -80.3746  0.5104E-08
2012   1   1  12  37.1668  -80.3746  0.4714E-08
2012   1   1  12  37.2168  -80.3746  0.5110E-08
2012   1   1  12  37.2668  -80.3746  0.4347E-08
2012   1   1  12  37.3168  -80.3746  0.4926E-08
2012   1   1  12  37.3668  -80.3746  0.4941E-08
2012   1   1  12  37.4168  -80.3746  0.6911E-08
2012   1   1  12  37.4668  -80.3746  0.3701E-08
2012   1   1  12  37.5168  -80.3746  0.4254E-08
2012   1   1  12  37.5668  -80.3746  0.2477E-08
2012   1   1  12  37.6168  -80.3746  0.4400E-09
2012   1   1  12  37.6668  -80.3746  0.2958E-09
2012   1   1  12  36.8168  -80.3246  0.2572E-09
2012   1   1  12  36.8668  -80.3246  0.8575E-10
2012   1   1  12  36.9168  -80.3246  0.5314E-09
2012   1   1  12  36.9668  -80.3246  0.1399E-08
2012   1   1  12  37.0168  -80.3246  0.3487E-08
2012   1   1  12  37.0668  -80.3246  0.3212E-08
2012   1   1  12  37.1168  -80.3246  0.3997E-08
2012   1   1  12  37.1668  -80.3246  0.5394E-08
2012   1   1  12  37.2168  -80.3246  0.4802E-08
2012   1   1  12  37.2668  -80.3246  0.4076E-08
2012   1   1  12  37.3168  -80.3246  0.3547E-08
2012   1   1  12  37.3668  -80.3246  0.4063E-08
2012   1   1  12  37.4168  -80.3246  0.4980E-08
2012   1   1  12  37.4668  -80.3246  0.4892E-08
2012   1   1  12  37.5168  -80.3246  0.3628E-08
2012   1   1  12  37.5668  -80.3246  0.1934E-08
2012   1   1  12  37.6168  -80.3246  0.1430E-08
2012   1   1  12  37.6668  -80.3246  0.7570E-10
2012   1   1  12  37.7168  -80.3246  0.1446E-09
2012   1   1  12  36.8168  -80.2746  0.8574E-10
2012   1   1  12  36.8668  -80.2746  0.1715E-09
2012   1   1  12  36.9168  -80.2746  0.1798E-09
2012   1   1  12  36.9668  -80.2746  0.1047E-08
2012   1   1  12  37.0168  -80.2746  0.1928E-08
2012   1   1  12  37.0668  -80.2746  0.3819E-08
2012   1   1  12  37.1168  -80.2746  0.3481E-08
2012   1   1  12  37.1668  -80.2746  0.3466E-08
2012   1   1  12  37.2168  -80.2746  0.4857E-08
2012   1   1  12  37.2668  -80.2746  0.4360E-08
2012   1   1  12  37.3168  -80.2746  0.3235E-08
2012   1   1  12  37.3668  -80.2746  0.3428E-08
2012   1   1  12  37.4168  -80.2746  0.3175E-08
2012   1   1  12  37.4668  -80.2746  0.3929E-08
2012   1   1  12  37.5168  -80.2746  0.4220E-08
2012   1   1  12  37.5668  -80.2746  0.2712E-08
2012   1   1  12  37.6168  -80.2746  0.9624E-09
2012   1   1  12  37.6668  -80.2746  0.3784E-09
2012   1   1  12  36.8668  -80.2246  0.2573E-09
2012   1   1  12  36.9168  -80.2246  0.8994E-10
2012   1   1  12  36.9668  -80.2246  0.5317E-09
2012   1   1  12  37.0168  -80.2246  0.1228E-08
2012   1   1  12  37.0668  -80.2246  0.2977E-08
2012   1   1  12  37.1168  -80.2246  0.3299E-08
2012   1   1  12  37.1668  -80.2246  0.3721E-08
2012   1   1  12  37.2168  -80.2246  0.3366E-08
2012   1   1  12  37.2668  -80.2246  0.4933E-08
2012   1   1  12  37.3168  -80.2246  0.3796E-08
2012   1   1  12  37.3668  -80.2246  0.3228E-08
2012   1   1  12  37.4168  -80.2246  0.3266E-08
2012   1   1  12  37.4668  -80.2246  0.2945E-08
2012   1   1  12  37.5168  -80.2246  0.2654E-08
2012   1   1  12  37.5668  -80.2246  0.2260E-08
2012   1   1  12  37.6168  -80.2246  0.2307E-08
