eGRID2012 file generator sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Notes
13600,NC,Sampson County Landfill,57492,GEN3,0,OP,IC,LFG,1.6,0,0,0,,2011,
13601,NC,Sampson County Landfill,57492,GEN4,0,OP,IC,LFG,1.6,0,0,0,,2011,
13602,NC,Sampson County Landfill,57492,GEN5,0,OP,IC,LFG,1.6,0,0,0,,2011,
13603,NC,Sampson County Landfill,57492,GEN6,0,V,IC,LFG,1.6,0,0,0,,2014,
13604,NC,Sampson County Landfill,57492,GEN7,0,V,IC,LFG,1.6,0,0,0,,2015,
13605,NC,Sampson County Landfill,57492,GEN8,0,V,IC,LFG,1.6,0,0,0,,2016,
13606,NC,"Sandy Cross Solar, LLC",58491,SANDY,0,OP,PV,SUN,1.2,0,0,0,,2012,
13607,NC,Santeetlah,54898,1,0,OP,HY,WAT,22.5,0,0,0,,1928,
13608,NC,Santeetlah,54898,2,0,OP,HY,WAT,22.5,0,0,0,,1928,
13609,NC,SAS Solar Farm,56915,1,0,OP,PV,SUN,0.5,0,0,0,,2008,
13610,NC,SAS Solar Farm,56915,2,0,OP,PV,SUN,0.5,0,0,0,,2008,
13611,NC,SAS Solar Farm,56915,3,0,OP,PV,SUN,0.5,0,0,0,,2010,
13612,NC,SAS Solar Farm,56915,4,0,OP,PV,SUN,0.5,0,0,0,,2010,
13613,NC,Shannon Farm,58323,1,0,OP,PV,SUN,5,0.206986301,9066,0,F923NONK,2012,
13614,NC,Shelby Solar Energy Generation Facility,57200,1,0,OP,PV,SUN,1,0.2,1752,0,F923NONK,2010,
13615,NC,"Shelby, Toms Street",56063,1,0,OP,IC,DFO,1.8,-0.002409944,-38,0,F923NONK,2002,
13616,NC,Sherwood H Smith Jr Energy Complex,7805,1,0,OP,GT,NG,211.8,0,0,0,,2001,
13617,NC,Sherwood H Smith Jr Energy Complex,7805,2,0,OP,GT,NG,211.8,0,0,0,,2001,
13618,NC,Sherwood H Smith Jr Energy Complex,7805,3,0,OP,GT,NG,211.8,0,0,0,,2001,
13619,NC,Sherwood H Smith Jr Energy Complex,7805,4,0,OP,GT,NG,211.8,0,0,0,,2001,
13620,NC,Sherwood H Smith Jr Energy Complex,7805,10,0,OP,CT,NG,191.2,0,0,0,,2011,
13621,NC,Sherwood H Smith Jr Energy Complex,7805,6,0,OP,GT,NG,195.3,0,0,0,,2002,
13622,NC,Sherwood H Smith Jr Energy Complex,7805,7,0,OP,CT,NG,195.3,0,0,0,,2002,
13623,NC,Sherwood H Smith Jr Energy Complex,7805,8,0,OP,CT,NG,195.3,0,0,0,,2002,
13624,NC,Sherwood H Smith Jr Energy Complex,7805,9,0,OP,CT,NG,191.2,0,0,0,,2011,
13625,NC,Sherwood H Smith Jr Energy Complex,7805,ST4,1,OP,CA,NG,195.3,0.584238158,999531,0,F923ST,2002,
13626,NC,Sherwood H Smith Jr Energy Complex,7805,ST5,1,OP,CA,NG,271,0.832345954,1975956,0,F923ST,2011,
13627,NC,Silver Creek Lift Station,56892,1255,0,OP,IC,DFO,0.2,0,0,0,,2008,
13628,NC,Smithfield Packing Bladen,54823,GEN1,0,SB,IC,DFO,1.5,0,0,0,,1993,
13629,NC,Smithfield Packing Bladen,54823,GEN2,0,SB,IC,DFO,1.5,0,0,0,,1993,
13630,NC,Smithfield Packing Bladen,54823,GEN3,0,SB,IC,DFO,1.5,0,0,0,,1993,
13631,NC,Smithfield Packing Bladen,54823,GEN4,0,SB,IC,DFO,1.5,0,0,0,,1993,
13632,NC,Smithfield Packing Bladen,54823,GEN5,0,SB,IC,DFO,1.5,0,0,0,,1993,
13633,NC,Smithfield Packing Bladen,54823,GEN6,0,SB,IC,DFO,1.5,0,0,0,,1993,
13634,NC,Smithfield Packing Bladen,54823,GEN7,0,SB,IC,DFO,1.5,0,0,0,,1993,
13635,NC,Smithfield Packing Bladen,54823,GEN8,0,SB,IC,DFO,1.5,0,0,0,,1993,
13636,NC,Smithfield Packing Bladen,54823,GEN9,0,SB,IC,DFO,1.5,0,0,0,,1998,
13637,NC,Smithfield Packing Bladen,54823,GN10,0,SB,IC,DFO,1.5,0,0,0,,1998,
13638,NC,Smithfield Packing Bladen,54823,GN11,0,SB,IC,DFO,1.5,0,0,0,,1998,
13639,NC,Smithfield Packing Bladen,54823,GN12,0,SB,IC,DFO,1.5,0,0,0,,1998,
13640,NC,Smithfield Packing Bladen,54823,GN13,0,SB,IC,DFO,1.5,0,0,0,,1998,
13641,NC,Smithfield Packing Bladen,54823,GN14,0,SB,IC,DFO,1.5,0,0,0,,1998,
13642,NC,Smithfield Packing Bladen,54823,GN15,0,SB,IC,DFO,1.5,0,0,0,,1998,
13643,NC,Smithfield Packing Bladen,54823,GN16,0,SB,IC,DFO,1.5,0,0,0,,1995,
13644,NC,Smithfield Packing Bladen,54823,GN17,0,SB,IC,DFO,1.5,0,0,0,,1998,
13645,NC,Smithfield Packing Bladen,54823,GN18,0,SB,IC,DFO,1.5,0,0,0,,1995,
13646,NC,Smithfield Packing Bladen,54823,GN19,0,SB,IC,DFO,1.5,0,0,0,,1998,
13647,NC,Smithfield Packing Wilson,56035,1,0,SB,IC,DFO,1.4,0,0,0,,2002,
13648,NC,Smithfield Packing Wilson,56035,2,0,SB,IC,DFO,1.4,0,0,0,,2002,
13649,NC,Solar Star North Carolina II LLC,57435,1,0,OP,PV,SUN,1.3,0,0,0,,2011,
13650,NC,Solar Star North Carolina II LLC,57435,2,0,OP,PV,SUN,1.3,0,0,0,,2011,
13651,NC,Solar Star North Carolina II LLC,57435,3,0,OP,PV,SUN,1.3,0,0,0,,2011,
13652,NC,Solar Star North Carolina II LLC,57435,4,0,OP,PV,SUN,1.3,0,0,0,,2011,
13653,NC,Solar Star North Carolina II LLC,57435,5,0,OP,PV,SUN,1.3,0,0,0,,2011,
13654,NC,South Robeson Farm,58273,SROB,0,OP,PV,SUN,5,0.105844749,4636,0,F923NONK,2012,
13655,NC,Statesville Delivery No 3,56552,1,0,OP,IC,DFO,2.2,-0.002853881,-55,0,F923NONK,2007,
13656,NC,"Statesville, Highway 64",56062,1,0,OP,IC,DFO,1.8,-0.002346525,-37,0,F923NONK,2002,
13657,NC,SunEdison LV Sutton Plant Site,56938,NCP1,0,OP,PV,SUN,1.2,0.177416286,1865,0,F923NONK,2008,
13658,NC,Taylorsville Solar LLC,57402,TAY1,0,OP,PV,SUN,1.2,0.168569254,1772,0,F923NONK,2010,
13659,NC,Tennessee Creek,2749,1,0,OP,HY,WAT,10.8,0.279268138,26421,0,F923NONK,1955,
13660,NC,Thorpe,2750,1,0,OP,HY,WAT,21.6,0.367352655,69509,0,F923NONK,1941,
13661,NC,Tillery,2714,1,0,OP,HY,WAT,22,0,0,0,,1928,
13662,NC,Tillery,2714,2,0,OP,HY,WAT,18,0,0,0,,1928,
13663,NC,Tillery,2714,3,0,OP,HY,WAT,22,0,0,0,,1928,
13664,NC,Tillery,2714,4,0,OP,HY,WAT,22,0,0,0,,1960,
13665,NC,Tuckasegee,2751,1,0,OP,HY,WAT,3,0.227853881,5988,0,F923NONK,1950,
13666,NC,Tuckertown,54897,TT1,0,OP,HY,WAT,14,0,0,0,,1962,
13667,NC,Tuckertown,54897,TT2,0,OP,HY,WAT,14,0,0,0,,1962,
13668,NC,Tuckertown,54897,TT3,0,OP,HY,WAT,14,0,0,0,,1962,
13669,NC,Turner Shoals,2735,1,0,OP,HY,WAT,2.7,0,0,0,,1996,
13670,NC,Turner Shoals,2735,2,0,OP,HY,WAT,2.7,0,0,0,,1996,
13671,NC,Tuxedo,2736,1,0,OP,HY,WAT,2.5,0,0,0,,1920,
13672,NC,Tuxedo,2736,2,0,OP,HY,WAT,2.5,0,0,0,,1920,
13673,NC,Two Lines Farm,58348,1,0,T,PV,SUN,5,0,0,0,,2013,
13674,NC,UNC-CH LFG Facility,58268,LFG1,0,TS,IC,LFG,1,0,0,0,,2013,
13675,NC,Unifi Kinston LLC,10792,GEN1,3,RE,ST,BIT,7.5,0,0,0,,1952,
13676,NC,Unifi Kinston LLC,10792,GEN2,3,RE,ST,BIT,7.5,0,0,0,,1952,
13677,NC,Univ of NC Chapel Hill Cogen Facility,54276,ES001,0,SB,IC,DFO,2,0,0,0,,2007,
13678,NC,Univ of NC Chapel Hill Cogen Facility,54276,ES002,0,SB,IC,DFO,2,0,0,0,,2007,
13679,NC,Univ of NC Chapel Hill Cogen Facility,54276,TG3,2,OP,ST,BIT,28,0.141976517,34824,0,F923ST,1991,
13680,NC,Univ of NC Chapel Hill Cogen Facility,54276,TG4,0,IP,ST,BIT,24,0,0,0,,,
13681,NC,Uwharrie Mountain Renewable,58526,1,0,U,IC,LFG,1.6,0,0,0,,2014,
13682,NC,Uwharrie Mountain Renewable,58526,2,0,U,IC,LFG,1.6,0,0,0,,2014,
